"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clk1",1.91200430854328e-06,-0.278543360474244,0.266,0.348,0.0283359038526114,"4","Clk1"
"Notch2.1",2.58515027494117e-06,-0.28494330289386,0.254,0.337,0.0383119270746281,"4","Notch2"
"Furin",3.70567799250467e-06,-0.272981062369648,0.356,0.435,0.0549181478489192,"4","Furin"
"Zbp1.2",4.17042195193497e-06,-0.287606229611748,0.205,0.286,0.0618056533276763,"4","Zbp1"
"Tnfrsf1b.3",5.34787980002683e-06,-0.268916454910518,0.474,0.514,0.0792555786363976,"4","Tnfrsf1b"
"Rnf11",5.4935359189776e-06,-0.270587129322343,0.219,0.288,0.081414202319248,"4","Rnf11"
"Ncf2.2",6.12136191034425e-06,-0.288860459215923,0.247,0.315,0.0907185835113018,"4","Ncf2"
"Slfn1.1",8.16275122651145e-06,-0.2534013698734,0.421,0.495,0.1209719731769,"4","Slfn1"
"Tnfaip3.3",1.14164458303307e-05,-0.287656277775762,0.332,0.356,0.1691917272055,"4","Tnfaip3"
"Ifi204.1",1.88388577713414e-05,-0.29437725016368,0.211,0.277,0.279191872171279,"4","Ifi204"
"Spp1.4",3.00315782703131e-05,-0.514932369375392,0.393,0.422,0.44506798996604,"4","Spp1"
"Ncf1",4.10137638495399e-05,-0.256877733977744,0.285,0.357,0.607823980250182,"4","Ncf1"
"Bcl2a1b.1",5.422234845001e-05,-0.290754189344049,0.322,0.352,0.803575204029148,"4","Bcl2a1b"
"Ctss.3",0.000137880220765852,-0.301835429520692,0.29,0.293,1,"4","Ctss"
"Fos.2",0.000164621823688966,-0.354544013054346,0.354,0.391,1,"4","Fos"
"Gdap10",0.000312529664614348,-0.273366303505992,0.204,0.251,1,"4","Gdap10"
"Rsad2.1",0.000580033800674498,-0.360998992795842,0.323,0.344,1,"4","Rsad2"
"Pfkfb3.3",0.000778268228588113,-0.264106244157756,0.29,0.307,1,"4","Pfkfb3"
"Icam1",0.000792531889093687,-0.297243784118078,0.311,0.334,1,"4","Icam1"
"Cd74",0,2.96128665227354,0.784,0.205,0,"5","Cd74"
"Arg1",0,2.79935603473849,0.605,0.015,0,"5","Arg1"
"Crip1",0,2.63544629438875,0.927,0.075,0,"5","Crip1"
"Apoe",0,2.61754400538404,0.595,0.031,0,"5","Apoe"
