"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Erh",0,-0.677895657295579,0.018,0.402,0,"Neutrophils","Erh"
"Cct5",0,-0.678995599012993,0.039,0.461,0,"Neutrophils","Cct5"
"Pole4",0,-0.679001307633882,0.023,0.419,0,"Neutrophils","Pole4"
"Mrpl23",0,-0.680532835018848,0.009,0.388,0,"Neutrophils","Mrpl23"
"1110004F10Rik",0,-0.684728318431098,0.055,0.502,0,"Neutrophils","1110004F10Rik"
"Uqcrc1",0,-0.687472851147903,0.032,0.438,0,"Neutrophils","Uqcrc1"
"Tsn",0,-0.688854732781032,0.037,0.446,0,"Neutrophils","Tsn"
"Psmc3",0,-0.689887583093855,0.046,0.487,0,"Neutrophils","Psmc3"
"Glrx3",0,-0.690266858470208,0.012,0.419,0,"Neutrophils","Glrx3"
"U2af1",0,-0.690542320776583,0.049,0.475,0,"Neutrophils","U2af1"
"Srp14",0,-0.694206746148923,0.143,0.662,0,"Neutrophils","Srp14"
"Ndufb3",0,-0.695853425429186,0.048,0.475,0,"Neutrophils","Ndufb3"
"Snrpd2",0,-0.699789950683592,0.043,0.459,0,"Neutrophils","Snrpd2"
"Mrpl18",0,-0.703699730409286,0.036,0.461,0,"Neutrophils","Mrpl18"
"Ybx3",0,-0.705928299273302,0.004,0.328,0,"Neutrophils","Ybx3"
"Rwdd1",0,-0.7066898278814,0.049,0.493,0,"Neutrophils","Rwdd1"
"Sarnp",0,-0.709170173982403,0.036,0.464,0,"Neutrophils","Sarnp"
"Romo1",0,-0.70963593123527,0.06,0.515,0,"Neutrophils","Romo1"
"Plekho1",0,-0.712056753071186,0.006,0.364,0,"Neutrophils","Plekho1"
"Snrpd3",0,-0.715043027761824,0.045,0.479,0,"Neutrophils","Snrpd3"
"Ndufab1",0,-0.718586683695655,0.034,0.475,0,"Neutrophils","Ndufab1"
"Ndufa8",0,-0.718942944045423,0.032,0.503,0,"Neutrophils","Ndufa8"
"Wdr83os",0,-0.718987978047007,0.021,0.442,0,"Neutrophils","Wdr83os"
"Aimp1",0,-0.72173148210842,0.016,0.435,0,"Neutrophils","Aimp1"
"Nmt1",0,-0.722173676288717,0.072,0.551,0,"Neutrophils","Nmt1"
"Cct8",0,-0.723195004612109,0.037,0.469,0,"Neutrophils","Cct8"
"Tram1",0,-0.728532546460799,0.053,0.494,0,"Neutrophils","Tram1"
"1810022K09Rik",0,-0.729313321944573,0.044,0.495,0,"Neutrophils","1810022K09Rik"
"Psma6",0,-0.731858629827491,0.059,0.508,0,"Neutrophils","Psma6"
"Mrps24",0,-0.732059468617696,0.05,0.52,0,"Neutrophils","Mrps24"
"Psma5",0,-0.733256947742497,0.066,0.518,0,"Neutrophils","Psma5"
"Vcp",0,-0.734398266301916,0.062,0.513,0,"Neutrophils","Vcp"
"Uqcr10",0,-0.73835806995756,0.106,0.611,0,"Neutrophils","Uqcr10"
"Cox6a1",0,-0.738671227504099,0.101,0.611,0,"Neutrophils","Cox6a1"
