"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"73","Galea_Cranio_scRNAseq",1370,488,0,"0","0","Neutrophils"
"74","Galea_Cranio_scRNAseq",1772,688,0.0564334085778781,"0","0","Neutrophils"
"75","Galea_Cranio_scRNAseq",2188,735,0.411334552102377,"0","0","Neutrophils"
"76","Galea_Cranio_scRNAseq",1922,735,0.104058272632674,"0","0","Neutrophils"
"77","Galea_Cranio_scRNAseq",2155,672,0.0464037122969838,"0","0","Neutrophils"
"78","Galea_Cranio_scRNAseq",2454,627,0,"0","0","Neutrophils"
"79","Galea_Cranio_scRNAseq",877,483,0,"0","0","Neutrophils"
"80","Galea_Cranio_scRNAseq",2262,612,0.17683465959328,"0","0","Neutrophils"
"81","Galea_Cranio_scRNAseq",1536,668,0.1953125,"0","0","Neutrophils"
"82","Galea_Cranio_scRNAseq",2237,647,0.0447027268663388,"0","0","Neutrophils"
"83","Galea_Cranio_scRNAseq",4158,1198,0.481000481000481,"0","0","Neutrophils"
"84","Galea_Cranio_scRNAseq",2687,790,0.26051358392259,"0","0","Neutrophils"
"85","Galea_Cranio_scRNAseq",607,317,0.988467874794069,"0","0",NA
"86","Galea_Cranio_scRNAseq",1945,603,0,"0","0","Neutrophils"
"87","Galea_Cranio_scRNAseq",2092,1002,0.669216061185469,"0","0","Neutrophils"
"88","Galea_Cranio_scRNAseq",1970,750,0,"0","0","Neutrophils"
"89","Galea_Cranio_scRNAseq",1969,836,0.0507872016251904,"0","0","Neutrophils"
"90","Galea_Cranio_scRNAseq",2971,766,0.1346348030966,"0","0","Neutrophils"
"91","Galea_Cranio_scRNAseq",2324,531,0.0430292598967298,"0","0","Neutrophils"
"92","Galea_Cranio_scRNAseq",2179,507,0.275355667737494,"0","0","Neutrophils"
"93","Galea_Cranio_scRNAseq",3364,728,0.208085612366231,"0","0","Neutrophils"
"94","Galea_Cranio_scRNAseq",2257,509,0.177226406734603,"0","0","Neutrophils"
"95","Galea_Cranio_scRNAseq",2935,1035,0.170357751277683,"0","0","Neutrophils"
"96","Galea_Cranio_scRNAseq",2596,563,0,"0","0","Neutrophils"
"97","Galea_Cranio_scRNAseq",874,430,0.22883295194508,"0","0","Neutrophils"
