"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"2915","Brain_Cranio_scRNAseq",14436,3086,3.11720698254364,"1","1","Monocytes"
"2916","Brain_Cranio_scRNAseq",12383,3056,1.21941371234757,"1","1","Monocytes"
"2917","Brain_Cranio_scRNAseq",11295,3242,2.46126604692342,"1","1","Macrophages"
"2918","Brain_Cranio_scRNAseq",12759,3252,1.84183713457168,"1","1","Macrophages"
"2919","Brain_Cranio_scRNAseq",12913,3517,2.45489042050647,"1","1","Macrophages"
"2920","Brain_Cranio_scRNAseq",8780,2538,0.774487471526196,"1","1","Macrophages"
"2921","Brain_Cranio_scRNAseq",10916,2962,1.09930377427629,"1","1","Monocytes"
"2922","Brain_Cranio_scRNAseq",15013,3687,2.00492906148005,"1","1","Macrophages"
"2923","Brain_Cranio_scRNAseq",7755,2491,1.47001934235977,"1","1","Monocytes"
"2924","Brain_Cranio_scRNAseq",11942,3076,2.83872048233127,"1","1","Monocytes"
"2925","Brain_Cranio_scRNAseq",16291,4102,1.51003621631576,"1","1","Macrophages"
"2926","Brain_Cranio_scRNAseq",11900,3222,1.17647058823529,"1","1","Macrophages"
"2927","Brain_Cranio_scRNAseq",11535,3064,1.09232769830949,"1","1","Monocytes"
"2928","Brain_Cranio_scRNAseq",10411,3017,0.883680722312938,"1","1","Macrophages"
"2929","Brain_Cranio_scRNAseq",13263,3233,1.63613058885622,"1","1","Macrophages"
"2930","Brain_Cranio_scRNAseq",12675,2897,1.73570019723866,"1","1","Monocytes"
"2931","Brain_Cranio_scRNAseq",9847,2732,0.832740936325784,"1","1","Monocytes"
"2932","Brain_Cranio_scRNAseq",20303,4074,2.51686942816333,"1","1","Macrophages"
"2933","Brain_Cranio_scRNAseq",9687,2769,2.05429957675235,"1","1","Macrophages"
"2934","Brain_Cranio_scRNAseq",11261,3147,2.095728620904,"1","1","Macrophages"
"2935","Brain_Cranio_scRNAseq",20761,4323,3.04416935600405,"1","1",NA
"2936","Brain_Cranio_scRNAseq",11021,3106,3.54777243444334,"2","2","Microglia"
"2937","Brain_Cranio_scRNAseq",3360,1736,0.505952380952381,"2","2","Microglia"
"2938","Brain_Cranio_scRNAseq",9053,2896,2.75046945763835,"2","2","Microglia"
"2939","Brain_Cranio_scRNAseq",2652,1029,4.41176470588235,"2","2",NA
"2940","Brain_Cranio_scRNAseq",4197,1722,0.0714796283059328,"2","2",NA
"2941","Brain_Cranio_scRNAseq",5477,2238,2.37356216907066,"2","2","Microglia"
