"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptp4a2",2.50082698109754e-126,-0.34296509492421,0.336,0.784,4.43696722986325e-122,"4","Ptp4a2"
"Atp5o.1.1",3.37332758323103e-126,-0.382017199374304,0.187,0.643,5.98495779816849e-122,"4","Atp5o.1"
"Ppp1ca.3",5.24955832346526e-126,-0.432385255872302,0.372,0.823,9.31376637749206e-122,"4","Ppp1ca"
"Ndufb8.1",5.51481559042569e-126,-0.451621102609933,0.177,0.643,9.78438582053326e-122,"4","Ndufb8"
"Snx18.2",6.90029624862059e-126,0.590335863199964,0.517,0.517,1.22425056043026e-121,"4","Snx18"
"Cct4",7.66590475395245e-126,-0.413140895698036,0.108,0.553,1.36008482144624e-121,"4","Cct4"
"Spata13.2",9.96025624954284e-126,0.561323372909057,0.376,0.382,1.76714866379389e-121,"4","Spata13"
"Prpf4b.1",2.69075979901313e-125,-0.435160151771767,0.223,0.687,4.7739460354091e-121,"4","Prpf4b"
"Supt4a.3",4.30310380218809e-125,0.437089681398818,0.589,0.676,7.6345667658421e-121,"4","Supt4a"
"Sntb2",4.72654609194979e-125,0.572516245876196,0.29,0.191,8.38583807633733e-121,"4","Sntb2"
"Ddx6.1",5.68970388112492e-125,0.394385175873222,0.57,0.723,1.00946726258918e-120,"4","Ddx6"
"Sec11a",7.89801740119354e-125,-0.396392742303993,0.139,0.586,1.40126624731976e-120,"4","Sec11a"
"Slc15a3.3",8.6105102044783e-125,0.745272631007327,0.586,0.505,1.52767672047854e-120,"4","Slc15a3"
"Spcs1",1.35602115274157e-124,-0.339627084354602,0.17,0.612,2.40585272919409e-120,"4","Spcs1"
"Anxa2.3",1.67735121945809e-124,0.92818806682078,0.707,0.482,2.97595653356254e-120,"4","Anxa2"
"Snrpb",1.83747671170476e-124,-0.295758618013166,0.254,0.686,3.26005118190659e-120,"4","Snrpb"
"Mlec.1",2.26933244941122e-124,-0.554219075855694,0.079,0.533,4.02624963174539e-120,"4","Mlec"
"Gcnt1.3",2.29721286297938e-124,0.706408586514226,0.419,0.29,4.07571506149802e-120,"4","Gcnt1"
"Apobec3.1",2.73059932033659e-124,-0.485805483242798,0.241,0.711,4.84462931414118e-120,"4","Apobec3"
"H2afz.3",2.81748226399866e-124,-0.806599590262899,0.435,0.865,4.99877703278642e-120,"4","H2afz"
"Rab8b",2.90548787791728e-124,0.380092929970066,0.417,0.587,5.15491659300084e-120,"4","Rab8b"
"Tacc1.2",3.97633350040793e-124,-0.431213750638423,0.223,0.684,7.05481089642375e-120,"4","Tacc1"
"H3f3a.4",5.18955435961702e-124,0.623275955521573,0.944,0.929,9.20730734483251e-120,"4","H3f3a"
"B430306N03Rik",6.18823975098537e-124,0.739561558513367,0.347,0.157,1.09791749661983e-119,"4","B430306N03Rik"
"Ywhae",9.1056833494979e-124,-0.42726658274827,0.321,0.775,1.61553033986792e-119,"4","Ywhae"
"Stfa2l1",9.37126778677576e-124,1.69854095149723,0.306,0.025,1.66265033072976e-119,"4","Stfa2l1"
"Dazap2.2",1.13877789336921e-123,0.432513763578032,0.64,0.713,2.02041973841566e-119,"4","Dazap2"
"Srsf2",2.27749094692153e-123,-0.390686583036129,0.239,0.691,4.04072443802818e-119,"4","Srsf2"
"Ddx3x.3",2.47038587067792e-123,0.572406789702546,0.589,0.629,4.38295861175676e-119,"4","Ddx3x"
"Xrn2",2.52387960635129e-123,-0.480519535096302,0.11,0.561,4.47786719758847e-119,"4","Xrn2"
"Grb2",3.34709250795296e-123,0.405546662940329,0.651,0.74,5.93841152761014e-119,"4","Grb2"
"Napa",5.95126129951664e-123,0.338224572235,0.288,0.381,1.05587277976024e-118,"4","Napa"
"Atp5k.2",9.90741862779562e-123,-0.538864740049717,0.25,0.724,1.7577742129435e-118,"4","Atp5k"
"Ptk2b",1.00554666513328e-122,0.478514184647227,0.372,0.405,1.78404089327947e-118,"4","Ptk2b"
"Lrrc25.2",1.06008673868396e-122,0.510890879114762,0.399,0.383,1.88080589177308e-118,"4","Lrrc25"
"Rab11fip1",1.061544049747e-122,0.703324387586779,0.293,0.147,1.88339145306113e-118,"4","Rab11fip1"
"Carhsp1",1.18913085770608e-122,0.582815243915178,0.277,0.162,2.10975596774212e-118,"4","Carhsp1"
"Ndufb3.1",1.24143911720403e-122,-0.410143541446123,0.169,0.615,2.2025612817434e-118,"4","Ndufb3"
"Cox6c.3",2.18695191785816e-122,-0.60635901598363,0.411,0.849,3.88009009266395e-118,"4","Cox6c"
"Nop53.3",3.31352601087097e-122,-0.447993276451845,0.17,0.628,5.87885784848727e-118,"4","Nop53"
"Ddost.1",3.82725339948802e-122,-0.501135282534141,0.077,0.522,6.79031298137165e-118,"4","Ddost"
"Eif3a",4.48809609216605e-122,-0.266047477199586,0.308,0.737,7.96278008672101e-118,"4","Eif3a"
"Pstpip1.2",6.78085704653859e-122,0.533046746461349,0.388,0.366,1.20305965719688e-117,"4","Pstpip1"
"Atp5j2.2",7.04159691467824e-122,-0.494701720585924,0.381,0.828,1.24932012460221e-117,"4","Atp5j2"
"Cox7b.2",7.65108452535487e-122,-0.448641101005992,0.277,0.736,1.35745541648846e-117,"4","Cox7b"
"Tle3.2",8.54909165160803e-122,0.575245843587608,0.448,0.4,1.5167798408283e-117,"4","Tle3"
"Crip1.3",1.60164680626227e-121,-1.43556375163946,0.157,0.63,2.84164176367052e-117,"4","Crip1"
"Tbcb.1",1.83380278377933e-121,-0.391328920190082,0.103,0.533,3.25353289898129e-117,"4","Tbcb"
"Ndufc1.2",3.74980758210137e-121,-0.475055126100799,0.128,0.572,6.65290861216425e-117,"4","Ndufc1"
"Rabac1",3.76982043599688e-121,0.27986543897938,0.542,0.75,6.68841541754567e-117,"4","Rabac1"
"Fam173a",4.07063473992332e-121,-0.427164360638879,0.075,0.504,7.22212015557195e-117,"4","Fam173a"
"Gng5.3",5.12432167050776e-121,0.508659176804067,0.851,0.9,9.09157150781486e-117,"4","Gng5"
"Dpysl2.2",5.18401513503533e-121,-0.504268955102888,0.047,0.474,9.19747965257969e-117,"4","Dpysl2"
"Rin3.1",5.23385128148438e-121,0.518298955609561,0.388,0.373,9.28589894360959e-117,"4","Rin3"
"Tmem234",5.35946659101764e-121,-0.303012694642284,0.301,0.732,9.5087656257835e-117,"4","Tmem234"
"Cdkn1a.2",6.41189756023724e-121,1.07320301062201,0.327,0.222,1.13759886513729e-116,"4","Cdkn1a"
"Tmco1.1",6.48429363290527e-121,-0.483381472912002,0.126,0.579,1.15044337635005e-116,"4","Tmco1"
"Fas",6.64585995522863e-121,0.745261890606499,0.283,0.108,1.17910847325666e-116,"4","Fas"
"Mirt1",7.16392777481963e-121,0.896678260909755,0.401,0.135,1.2710240658085e-116,"4","Mirt1"
"Oas3.1",7.2950025953657e-121,0.760809762797088,0.347,0.189,1.29427936046978e-116,"4","Oas3"
"Eif5b.1",8.14543029382209e-121,-0.329292514064696,0.2,0.634,1.44516224272992e-116,"4","Eif5b"
"Plaur",1.12469227177622e-120,1.17475377457244,0.318,0.166,1.99542902858537e-116,"4","Plaur"
"Arf6",1.27743679465062e-120,0.427259834654377,0.375,0.382,2.26642836106913e-116,"4","Arf6"
"Evl.2",1.89158175012352e-120,-0.66170432345202,0.075,0.529,3.35604434106915e-116,"4","Evl"
"Pgs1",3.02639483053959e-120,0.390444479809652,0.314,0.359,5.36942970834334e-116,"4","Pgs1"
"Pten.2",3.55722812682773e-120,0.424657689438179,0.494,0.588,6.31123414261776e-116,"4","Pten"
"Susd6",4.42853476921527e-120,0.379911336257818,0.411,0.51,7.85710638754173e-116,"4","Susd6"
"Nt5c.2",4.47551156028062e-120,-0.468334038870969,0.056,0.48,7.94045261024988e-116,"4","Nt5c"
"Xylt1",6.53006875967062e-120,0.640751319929219,0.283,0.124,1.15856479934076e-115,"4","Xylt1"
"Aif1.4",1.03804509679636e-119,-1.28661919113353,0.16,0.616,1.84169961073611e-115,"4","Aif1"
"Ddrgk1.1",1.20400488367601e-119,-0.36405824603204,0.11,0.536,2.13614546461798e-115,"4","Ddrgk1"
"Ifngr1.2",3.4692383248703e-119,-0.818267678542546,0.398,0.834,6.15512263598489e-115,"4","Ifngr1"
"Cdc34",3.65671411137913e-119,0.332426952261941,0.25,0.302,6.48774217640885e-115,"4","Cdc34"
"Jak2.2",4.02128325771715e-119,0.615528418927252,0.391,0.322,7.13456075584177e-115,"4","Jak2"
"Wdr83os",4.7666315716039e-119,-0.441604456692002,0.065,0.491,8.45695773433963e-115,"4","Wdr83os"
"Irf9",5.72368226685074e-119,0.3467408721105,0.301,0.396,1.01549570778466e-114,"4","Irf9"
"Sdf2l1.2",6.2791466156402e-119,-0.686023755327278,0.044,0.475,1.11404619254688e-114,"4","Sdf2l1"
"Mcemp1.4",9.23713983327027e-119,1.07170901089305,0.568,0.217,1.63885334921881e-114,"4","Mcemp1"
"Comt.3",1.15953679589429e-118,-0.720106161015068,0.08,0.533,2.05725018327564e-114,"4","Comt"
"Itm2c.4",1.17945181865049e-118,-0.694471726550161,0.191,0.664,2.0925834166497e-114,"4","Itm2c"
"Zfand3",1.18156985578049e-118,0.408335477331054,0.362,0.368,2.09634123812574e-114,"4","Zfand3"
"Pet100.1",1.21943474191786e-118,0.324763465225517,0.458,0.58,2.16352111911067e-114,"4","Pet100"
"Ybx1.2",1.29305250115521e-118,-0.576488313018539,0.424,0.853,2.29413374754957e-114,"4","Ybx1"
"Ccdc50.1",1.54693591553187e-118,-0.494034861630723,0.056,0.48,2.74457370133664e-114,"4","Ccdc50"
"Pabpc1.1",1.87335849462039e-118,-0.475345388241621,0.512,0.903,3.3237126411555e-114,"4","Pabpc1"
"Nadk",1.99115002999867e-118,0.447517602968434,0.331,0.368,3.53269838322364e-114,"4","Nadk"
"Psmc3",1.99351991361013e-118,-0.442900189011613,0.133,0.575,3.53690303072709e-114,"4","Psmc3"
"Ndufs6.1",2.12223030963182e-118,-0.283602719714792,0.178,0.588,3.76526101534878e-114,"4","Ndufs6"
"Map7d1.1",2.28274718655621e-118,0.429696044033316,0.363,0.418,4.05005005838802e-114,"4","Map7d1"
"Bcap31",2.38941989612043e-118,-0.323779949573933,0.188,0.611,4.23930877969686e-114,"4","Bcap31"
"Psmb2.1",3.31716110154682e-118,-0.394682644177122,0.142,0.571,5.88530722636437e-114,"4","Psmb2"
"Sh2d3c",3.49328951077743e-118,0.708358080949179,0.329,0.204,6.19779425002132e-114,"4","Sh2d3c"
"Ankrd33b",3.65706559071446e-118,0.994767611556452,0.329,0.051,6.4883657710456e-114,"4","Ankrd33b"
"Rgs3",8.55951882547102e-118,0.573811242353399,0.306,0.223,1.51862983001507e-113,"4","Rgs3"
"Tuba1b.1",1.13875084899588e-117,-0.702974339110482,0.137,0.602,2.02037175628849e-113,"4","Tuba1b"
"Atp5b",1.3260632114412e-117,-0.480210372565477,0.339,0.788,2.35270134973897e-113,"4","Atp5b"
"D17Wsu92e",1.53059337633564e-117,0.307976278036756,0.264,0.367,2.71557876829469e-113,"4","D17Wsu92e"
"Cks2.1",2.51911077661384e-117,0.876588743494433,0.381,0.225,4.46940633986827e-113,"4","Cks2"
"Marc2.1",3.32030955375473e-117,-0.396212821991882,0.083,0.504,5.89089321027164e-113,"4","Marc2"
"Atp6v1b2.1",3.90378021329325e-117,0.408309617308718,0.349,0.447,6.92608685442488e-113,"4","Atp6v1b2"
"Rnf11",4.59135781252532e-117,0.535980587699932,0.322,0.244,8.14598703098242e-113,"4","Rnf11"
"Anapc13",6.34532732190366e-117,-0.430062541564763,0.097,0.523,1.12578797345215e-112,"4","Anapc13"
"2410015M20Rik",8.71370451245643e-117,-0.279992689941307,0.19,0.603,1.54598545460002e-112,"4","2410015M20Rik"
"Fem1c",9.69237316731136e-117,0.459425070592032,0.262,0.238,1.71962084734438e-112,"4","Fem1c"
"Sumo2.3",1.17950146040036e-116,-0.456864758094723,0.327,0.776,2.09267149104232e-112,"4","Sumo2"
