"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tcf7.7",2.81552315130675e-05,-0.793349603085054,0.026,0.268,0.462674919454239,"Macrophages","Tcf7"
"H2-Q10.8",2.81729689651984e-05,-1.10801238955917,0.026,0.275,0.462966399005105,"Macrophages","H2-Q10"
"Spen.2",2.85121540603254e-05,-0.556594228331121,0.231,0.411,0.468540227673327,"Macrophages","Spen"
"Zzef1.1",2.85720915076671e-05,-0.361581596674804,0.359,0.365,0.469525179745493,"Macrophages","Zzef1"
"Srsf11.1",2.85802882768832e-05,-0.481948053986513,0.333,0.553,0.469659877254022,"Macrophages","Srsf11"
"Etnk1.3",2.88521125186116e-05,-0.674881268334396,0.256,0.484,0.474126765018344,"Macrophages","Etnk1"
"Tnfaip8.4",2.88576828629377e-05,0.740911733177764,0.487,0.409,0.474218302486654,"Macrophages","Tnfaip8"
"Gnb1.2",2.95162921974388e-05,0.629996142532095,0.564,0.546,0.485041229680512,"Macrophages","Gnb1"
"Klhl24.6",3.06576288971276e-05,-0.620755867462356,0.333,0.466,0.503796815666498,"Macrophages","Klhl24"
"Tspan13.4",3.07206378650402e-05,-0.513013892403041,0.103,0.427,0.504832242036205,"Macrophages","Tspan13"
"Pum2.1",3.09087856377404e-05,-0.493868121550942,0.359,0.61,0.507924074384987,"Macrophages","Pum2"
"Cdc42se2.1",3.13188746113266e-05,-0.50467351583783,0.282,0.426,0.51466306648793,"Macrophages","Cdc42se2"
"Sephs2.5",3.17379766608773e-05,-0.609318941258631,0.026,0.278,0.521550170468196,"Macrophages","Sephs2"
"Smarca2",3.20719818750326e-05,-0.378348006577024,0.282,0.321,0.527038878152411,"Macrophages","Smarca2"
"Gpcpd1.6",3.22673262543513e-05,-1.05324571925466,0.231,0.476,0.530248972337755,"Macrophages","Gpcpd1"
"Rif1.4",3.25739545395209e-05,-0.449323953560986,0.128,0.285,0.535287794947947,"Macrophages","Rif1"
