"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Psap",3.57212964300532e-76,0.30312626217754,0.86,0.722,5.87008064235065e-72,"0","Psap"
"Tcf3",5.31900530874122e-76,-0.313990608186237,0.077,0.318,8.74072142385444e-72,"0","Tcf3"
"H2-DMb2",5.94989955376548e-76,-0.708398261527616,0.045,0.273,9.77746993670281e-72,"0","H2-DMb2"
"Wipf1",5.9913662622556e-76,0.282470118910537,0.612,0.645,9.84561217876463e-72,"0","Wipf1"
"AC160336.1",7.62123915579081e-76,0.532371337161929,0.569,0.497,1.2523982304711e-71,"0","AC160336.1"
"Cd47",9.77616849033565e-76,-0.420207242588497,0.591,0.856,1.60651776801686e-71,"0","Cd47"
"Rbmxl1",1.08118584635582e-75,-0.28888312897929,0.045,0.267,1.77671270131653e-71,"0","Rbmxl1"
"Atf7ip",1.17696801170854e-75,0.270746673774308,0.53,0.581,1.93411153364064e-71,"0","Atf7ip"
"Uba2",1.43843156690514e-75,-0.290027315664055,0.062,0.29,2.36377459389521e-71,"0","Uba2"
"Arhgap9",1.83250656856226e-75,0.306915813987688,0.535,0.519,3.01135804411836e-71,"0","Arhgap9"
"Sub1",2.14848884299663e-75,-0.410210876679403,0.561,0.838,3.53061171569636e-71,"0","Sub1"
"Psmd12",3.08076614136254e-75,-0.276658868418133,0.068,0.298,5.06262300010107e-71,"0","Psmd12"
"Msn",3.91441522601535e-75,0.356359765258192,0.843,0.847,6.43255854091103e-71,"0","Msn"
"Ythdf2",5.05573074903061e-75,-0.276102311117529,0.042,0.26,8.30808233988201e-71,"0","Ythdf2"
"Arap1",6.33351921942149e-75,0.372334557014315,0.39,0.306,1.04078721332753e-70,"0","Arap1"
"Etfb",8.53614690635783e-75,-0.286045309216609,0.082,0.318,1.40274502112178e-70,"0","Etfb"
"Pim1",9.07640462732133e-75,0.462012853824022,0.635,0.563,1.49152557240771e-70,"0","Pim1"
"2610507B11Rik",1.08700134454552e-74,-0.258001539570952,0.089,0.32,1.78626930949166e-70,"0","2610507B11Rik"
"Iglc2",1.093158954836e-74,-1.34379463867912,0.107,0.346,1.79638811048201e-70,"0","Iglc2"
"Lsm8",1.16466039614272e-74,-0.280784583886741,0.062,0.291,1.91388642898133e-70,"0","Lsm8"
"Bcl3",1.199183148328e-74,0.424063583941019,0.282,0.167,1.97061766764741e-70,"0","Bcl3"
"Akap8",1.2194720462647e-74,-0.260722292090744,0.102,0.334,2.00395841362678e-70,"0","Akap8"
"Stat1",1.32228167584236e-74,0.487991564064628,0.567,0.548,2.17290547791174e-70,"0","Stat1"
"Sumo3",1.79971210088907e-74,-0.270172681692276,0.05,0.268,2.957466895391e-70,"0","Sumo3"
"Hnrnpu",1.96841222240686e-74,-0.284542093179208,0.524,0.804,3.23469180508119e-70,"0","Hnrnpu"
"R3hdm2",2.92878949005293e-74,0.284820692255492,0.287,0.266,4.81287976900399e-70,"0","R3hdm2"
"Cited2",3.02853628366667e-74,0.299072331875799,0.306,0.321,4.97679367494944e-70,"0","Cited2"
"Ric8a",4.98599807154744e-74,0.271256248014701,0.289,0.282,8.19349063097391e-70,"0","Ric8a"
"Med12",5.02735878326018e-74,-0.28611886923322,0.051,0.271,8.26145868853146e-70,"0","Med12"
"Dhx40",5.73854815092059e-74,0.489880396830562,0.348,0.25,9.4301561764078e-70,"0","Dhx40"
"Ylpm1",6.31215674493843e-74,-0.273833669971257,0.08,0.31,1.03727671789573e-69,"0","Ylpm1"
"Tmem123",6.39775901691611e-74,-0.256384760700261,0.19,0.447,1.05134373924982e-69,"0","Tmem123"
"Nudt3",7.08444796858709e-74,-0.277325975444062,0.055,0.277,1.16418733467792e-69,"0","Nudt3"
"Mtss1",7.12903564606785e-74,-0.466639879220977,0.038,0.264,1.17151442771833e-69,"0","Mtss1"
