"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"67","BoneFlap_Cranio_scRNAseq",4418,1151,0.0905387052965143,"0","0","Neutrophils"
"68","BoneFlap_Cranio_scRNAseq",4861,849,0.020571898786258,"0","0","Neutrophils"
"69","BoneFlap_Cranio_scRNAseq",4934,1026,0.466153222537495,"0","0","Neutrophils"
"70","BoneFlap_Cranio_scRNAseq",5212,1393,0.21105141980046,"0","0","Neutrophils"
"71","BoneFlap_Cranio_scRNAseq",6452,1561,0.0154990700557967,"0","0","Neutrophils"
"72","BoneFlap_Cranio_scRNAseq",7566,981,0.343642611683849,"0","0","Neutrophils"
"73","BoneFlap_Cranio_scRNAseq",6241,1258,0.0480692196763339,"0","0","Neutrophils"
"74","BoneFlap_Cranio_scRNAseq",3421,959,0,"0","0","Neutrophils"
"75","BoneFlap_Cranio_scRNAseq",5276,1246,0.151630022744503,"0","0","Neutrophils"
"76","BoneFlap_Cranio_scRNAseq",1808,688,0.0553097345132743,"0","0","Neutrophils"
"77","BoneFlap_Cranio_scRNAseq",5043,1338,0.15863573269879,"0","0","Neutrophils"
"78","BoneFlap_Cranio_scRNAseq",3090,966,0.161812297734628,"0","0","Neutrophils"
"79","BoneFlap_Cranio_scRNAseq",3082,789,0.0324464633354964,"0","0","Neutrophils"
"80","BoneFlap_Cranio_scRNAseq",5024,1345,0.0597133757961783,"0","0","Neutrophils"
"81","BoneFlap_Cranio_scRNAseq",6109,1161,0.163692912096906,"0","0","Neutrophils"
"82","BoneFlap_Cranio_scRNAseq",3630,880,0.523415977961432,"0","0","Neutrophils"
"83","BoneFlap_Cranio_scRNAseq",3307,971,0,"0","0","Neutrophils"
"84","BoneFlap_Cranio_scRNAseq",3094,942,0.323206205559147,"0","0","Neutrophils"
"85","BoneFlap_Cranio_scRNAseq",1922,429,0.0520291363163372,"0","0","Neutrophils"
"86","BoneFlap_Cranio_scRNAseq",3995,868,0.0250312891113892,"0","0","Neutrophils"
"87","BoneFlap_Cranio_scRNAseq",4914,1073,0.0407000407000407,"0","0","Neutrophils"
"88","BoneFlap_Cranio_scRNAseq",3575,1031,0.027972027972028,"0","0","Neutrophils"
"89","BoneFlap_Cranio_scRNAseq",5500,1156,0.0727272727272727,"0","0","Neutrophils"
"90","BoneFlap_Cranio_scRNAseq",4404,907,0.136239782016349,"0","0","Neutrophils"
"91","BoneFlap_Cranio_scRNAseq",6451,1577,0.155014726399008,"0","0","Neutrophils"
"92","BoneFlap_Cranio_scRNAseq",10853,1381,0.175066801805952,"0","0","Neutrophils"
"93","BoneFlap_Cranio_scRNAseq",4081,1240,0.0735113942661113,"0","0","Neutrophils"
"94","BoneFlap_Cranio_scRNAseq",1782,514,0.0561167227833895,"0","0","Neutrophils"
"95","BoneFlap_Cranio_scRNAseq",4133,1033,0.629082990563755,"0","0","Neutrophils"
"96","BoneFlap_Cranio_scRNAseq",5449,969,0.0183519911910442,"0","0","Neutrophils"
"97","BoneFlap_Cranio_scRNAseq",5365,1334,0.0186393289841566,"0","0","Neutrophils"
"98","BoneFlap_Cranio_scRNAseq",1760,631,0,"0","0","Neutrophils"
"99","BoneFlap_Cranio_scRNAseq",3313,885,0.0905523694536674,"0","0","Neutrophils"
"100","BoneFlap_Cranio_scRNAseq",4151,941,0.0240905805829921,"0","0","Neutrophils"
"101","BoneFlap_Cranio_scRNAseq",5509,1235,0.0726084588854602,"0","0","Neutrophils"
"102","BoneFlap_Cranio_scRNAseq",5273,1386,0.170680826853783,"0","0","Neutrophils"
"103","BoneFlap_Cranio_scRNAseq",3103,708,0.0322268772155978,"0","0","Neutrophils"
"104","BoneFlap_Cranio_scRNAseq",5197,1539,0.153934962478353,"0","0","Neutrophils"
"105","BoneFlap_Cranio_scRNAseq",4808,1142,0.062396006655574,"0","0","Neutrophils"
"106","BoneFlap_Cranio_scRNAseq",3513,1041,0.31312268716197,"0","0","Neutrophils"
"107","BoneFlap_Cranio_scRNAseq",4720,1185,0,"0","0","Neutrophils"
"108","BoneFlap_Cranio_scRNAseq",2970,987,0.0336700336700337,"0","0","Neutrophils"
"109","BoneFlap_Cranio_scRNAseq",2469,790,0.0810044552450385,"0","0","Neutrophils"
"110","BoneFlap_Cranio_scRNAseq",2697,850,0.259547645532073,"0","0","Neutrophils"
"111","BoneFlap_Cranio_scRNAseq",1515,534,0,"0","0","Neutrophils"
"112","BoneFlap_Cranio_scRNAseq",1167,464,0,"0","0","Neutrophils"
"113","BoneFlap_Cranio_scRNAseq",4761,1016,0.10501995379122,"0","0","Neutrophils"
"114","BoneFlap_Cranio_scRNAseq",5862,1323,0.0682360968952576,"0","0","Neutrophils"
"115","BoneFlap_Cranio_scRNAseq",4587,1570,0.13080444735121,"0","0","Neutrophils"
"116","BoneFlap_Cranio_scRNAseq",4776,1257,0.125628140703518,"0","0","Neutrophils"
"117","BoneFlap_Cranio_scRNAseq",8258,1397,0.0363284088156939,"0","0","Neutrophils"
"118","BoneFlap_Cranio_scRNAseq",3283,759,0.121839780688395,"0","0","Neutrophils"
"119","BoneFlap_Cranio_scRNAseq",3682,1227,0.217273221075502,"0","0","Neutrophils"
"120","BoneFlap_Cranio_scRNAseq",3270,1010,0.0917431192660551,"0","0","Neutrophils"
"121","BoneFlap_Cranio_scRNAseq",3367,924,0.148500148500149,"0","0","Neutrophils"
"122","BoneFlap_Cranio_scRNAseq",1907,715,0.0524383848977451,"0","0","Neutrophils"
"123","BoneFlap_Cranio_scRNAseq",5618,1248,0.0711997152011392,"0","0","Neutrophils"
"124","BoneFlap_Cranio_scRNAseq",1878,490,0,"0","0","Neutrophils"
"125","BoneFlap_Cranio_scRNAseq",2363,727,0,"0","0","Neutrophils"
"126","BoneFlap_Cranio_scRNAseq",1783,734,0.168255748738082,"0","0","Neutrophils"
"127","BoneFlap_Cranio_scRNAseq",6873,1277,0.203695620544158,"0","0","Neutrophils"
"128","BoneFlap_Cranio_scRNAseq",3771,1238,0.265181649429859,"0","0","Neutrophils"
"129","BoneFlap_Cranio_scRNAseq",4359,970,0.137646249139711,"0","0","Neutrophils"
"130","BoneFlap_Cranio_scRNAseq",2319,633,0,"0","0","Neutrophils"
"131","BoneFlap_Cranio_scRNAseq",3101,1108,0.128990648178007,"0","0","Neutrophils"
"132","BoneFlap_Cranio_scRNAseq",7613,1391,0.105083409956653,"0","0","Neutrophils"
"133","BoneFlap_Cranio_scRNAseq",10484,1788,0.104921785578024,"0","0","Neutrophils"
"134","BoneFlap_Cranio_scRNAseq",8204,1227,0.0975134080936129,"0","0","Neutrophils"
"135","BoneFlap_Cranio_scRNAseq",4354,1148,0.436380339917317,"0","0","Neutrophils"
"136","BoneFlap_Cranio_scRNAseq",6478,1235,0.0926211793763507,"0","0","Neutrophils"
"137","BoneFlap_Cranio_scRNAseq",1159,442,0,"0","0","Neutrophils"
"138","BoneFlap_Cranio_scRNAseq",3572,857,0.111982082866741,"0","0","Neutrophils"
"139","BoneFlap_Cranio_scRNAseq",4680,1337,0.0641025641025641,"0","0","Neutrophils"
"140","BoneFlap_Cranio_scRNAseq",4177,810,0.0478812544888676,"0","0","Neutrophils"
"141","BoneFlap_Cranio_scRNAseq",4606,1409,0.0434216239687364,"0","0","Neutrophils"
"142","BoneFlap_Cranio_scRNAseq",5213,1053,0.575484366008057,"0","0","Neutrophils"
"143","BoneFlap_Cranio_scRNAseq",4645,1325,0.0430570505920344,"0","0","Neutrophils"
"144","BoneFlap_Cranio_scRNAseq",6175,1321,0.0323886639676113,"0","0","Neutrophils"
"145","BoneFlap_Cranio_scRNAseq",6264,1100,0.0478927203065134,"0","0","Neutrophils"
"146","BoneFlap_Cranio_scRNAseq",4878,1295,0.0410004100041,"0","0","Neutrophils"
"147","BoneFlap_Cranio_scRNAseq",2323,840,0.344382264313388,"0","0","Neutrophils"
