"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Malat1",1.06467088141386e-99,0.747299171556735,1,0.99,1.40781430649354e-95,"3","Malat1"
"Noct",1.56656490414791e-99,0.406307674789764,0.166,0.267,2.07146877275478e-95,"3","Noct"
"Parp14.2",2.53685388668753e-99,0.548789031027255,0.376,0.528,3.35448189436693e-95,"3","Parp14"
"Ythdc1",4.35243695660134e-99,0.254789195621201,0.163,0.35,5.75522738771395e-95,"3","Ythdc1"
"Arhgdib.1",1.94209030929802e-98,-0.5444964184892,0.104,0.51,2.56802601598478e-94,"3","Arhgdib"
"Ccnt1",3.31058037074286e-98,0.315610236014652,0.134,0.263,4.37758042423328e-94,"3","Ccnt1"
"Sumo1",3.42240517836323e-98,-0.287286467325035,0.087,0.423,4.5254463673497e-94,"3","Sumo1"
"Ago2.1",4.30968851020885e-98,0.402907028667598,0.238,0.379,5.69870111704917e-94,"3","Ago2"
"Srgn.3",5.0262819067423e-98,-0.795039178940267,0.932,0.994,6.64625256528534e-94,"3","Srgn"
"Ube2i.2",5.11730148359948e-98,-0.256135565025232,0.1,0.434,6.76660775176359e-94,"3","Ube2i"
"Zfp263",5.85229814648191e-98,0.379620896102203,0.18,0.318,7.73849383909303e-94,"3","Zfp263"
"Mknk2",6.24925615210478e-98,0.36304047090871,0.161,0.284,8.26339140992814e-94,"3","Mknk2"
"Nlrp3.2",7.79665079502504e-98,0.667524560578618,0.586,0.711,1.03095113462616e-93,"3","Nlrp3"
"Rpl23a.2",9.64406511235662e-98,-0.579626540887648,0.068,0.458,1.27523472980692e-93,"3","Rpl23a"
"Vps37b",1.28912770039571e-97,0.44604860374691,0.325,0.506,1.70461355823325e-93,"3","Vps37b"
"Kdm7a.1",1.65773218649978e-97,0.366755988992712,0.144,0.263,2.19201927020866e-93,"3","Kdm7a"
"Csrnp1.3",2.22684153792023e-97,0.407823890285913,0.452,0.655,2.94455256559192e-93,"3","Csrnp1"
"Dusp5.2",4.5597576484619e-97,0.450042246972897,0.329,0.483,6.02936753856117e-93,"3","Dusp5"
"Pde4b.2",1.25301158451283e-96,0.334153661622072,0.329,0.537,1.65685721820132e-92,"3","Pde4b"
"Cpeb2.2",3.04471631857731e-96,0.469499083004073,0.183,0.3,4.02602838805478e-92,"3","Cpeb2"
"Slfn4.2",3.25763456722596e-96,0.842125003404731,0.578,0.645,4.30757018824288e-92,"3","Slfn4"
"Gpsm3",5.1339857679452e-96,-0.259556294089504,0.127,0.464,6.78866938095393e-92,"3","Gpsm3"
"Psme1",7.07925431306089e-96,-0.357530219864356,0.096,0.459,9.36089797816041e-92,"3","Psme1"
"Trafd1.2",1.11139634373271e-95,0.309527179790594,0.151,0.302,1.46959938531776e-91,"3","Trafd1"
"H3f3a.1",1.19595527029124e-95,-0.393686089953988,0.766,0.987,1.58141165390611e-91,"3","H3f3a"
"Isg20.2",1.98528465116881e-95,-0.622897153048806,0.138,0.564,2.62514189424051e-91,"3","Isg20"
"Vamp8.1",2.66674264983452e-95,-0.324533737683448,0.076,0.408,3.52623380587619e-91,"3","Vamp8"
"Rpl28.2",5.70856390418579e-95,-0.758814262714466,0.062,0.466,7.54843405050487e-91,"3","Rpl28"
"Acbd3.1",7.12716469886489e-95,0.28302838402851,0.127,0.259,9.42424988130904e-91,"3","Acbd3"
"Pgk1.2",1.47780538668584e-94,-0.286342472826526,0.301,0.698,1.95410206281469e-90,"3","Pgk1"
"Gnas.3",2.32341612291501e-94,-0.446161005203826,0.068,0.429,3.07225313933052e-90,"3","Gnas"
"Gnaq.1",4.16770107760734e-94,0.348826721276924,0.129,0.255,5.51095113492019e-90,"3","Gnaq"
"Gpr132.1",1.09607304114024e-93,0.319351250042019,0.166,0.311,1.44933738229974e-89,"3","Gpr132"
"Pfkfb3.1",1.5910260684505e-93,0.585174514834315,0.302,0.449,2.10381377031209e-89,"3","Pfkfb3"
"Sec61g.1",3.11680460357581e-93,-0.675864636964723,0.085,0.49,4.1213507273083e-89,"3","Sec61g"
"Tlr13.1",3.81293249777697e-93,0.296249658305051,0.121,0.256,5.04184064181049e-89,"3","Tlr13"
"Ifitm2.2",5.42433514601915e-93,-0.763386245702255,0.577,0.923,7.17259836358112e-89,"3","Ifitm2"
"Cyfip1.1",5.81216990176333e-93,0.348620520990483,0.138,0.264,7.68543226110166e-89,"3","Cyfip1"
"Cpne2.2",7.85573897914931e-93,0.528451942994485,0.302,0.448,1.03876436521291e-88,"3","Cpne2"
"Il17ra.2",8.24851813630187e-93,0.508556123053422,0.166,0.256,1.0907015531632e-88,"3","Il17ra"
"Slc2a6",8.25971979144249e-93,0.311267351835561,0.151,0.287,1.09218274802244e-88,"3","Slc2a6"
"Cox4i1.1",1.18822475742255e-92,-0.471786627502883,0.072,0.436,1.57118959673984e-88,"3","Cox4i1"
"mt-Cytb.2",2.71627081299259e-92,0.755728648030775,0.263,0.28,3.5917248960201e-88,"3","mt-Cytb"
"Slfn1.2",3.0675403255977e-92,-0.387377292728993,0.217,0.626,4.05620857253784e-88,"3","Slfn1"
"Rplp0.3",7.72678703348099e-92,-0.711401446315941,0.066,0.455,1.02171304943719e-87,"3","Rplp0"
"Rpl19.2",1.90425992473242e-91,-0.718148612260698,0.104,0.511,2.51800289847368e-87,"3","Rpl19"
"Ptpre.3",3.10337073830766e-91,0.557656489025043,0.265,0.406,4.10358712726422e-87,"3","Ptpre"
"Spata13.1",3.91101752984561e-91,0.422881352564477,0.163,0.26,5.17153847971485e-87,"3","Spata13"
"Bach1.2",4.12854277651633e-91,0.406962304182841,0.146,0.272,5.45917211338755e-87,"3","Bach1"
"2810474O19Rik.1",7.30890283709427e-91,0.322998811300489,0.571,0.817,9.66456222148975e-87,"3","2810474O19Rik"
"Trim30a.2",9.72675377941381e-91,0.290328588667421,0.346,0.574,1.28616865225189e-86,"3","Trim30a"
"Nisch.3",2.14893880144062e-90,0.532697670671099,0.267,0.423,2.84154177714493e-86,"3","Nisch"
"Plk3.2",3.01156708931481e-90,0.553178020572376,0.299,0.415,3.98219516220097e-86,"3","Plk3"
"Rpl24.2",3.53983015027401e-90,-0.7522552534169,0.1,0.509,4.68071740770732e-86,"3","Rpl24"
"Tmed2.1",4.42317640977049e-90,-0.258651372486548,0.087,0.404,5.84876616663951e-86,"3","Tmed2"
"Glrx.3",9.54921815439694e-90,-0.275641660353986,0.174,0.539,1.26269311655591e-85,"3","Glrx"
"Rtp4.2",1.11429544839706e-89,-0.318210770750599,0.216,0.603,1.47343287141543e-85,"3","Rtp4"
"Fgd3.1",1.311089133824e-89,0.278012052220076,0.153,0.293,1.73365316165547e-85,"3","Fgd3"
"Eea1.2",1.5709079726488e-89,0.372393873424525,0.234,0.409,2.0772116122335e-85,"3","Eea1"
"Uqcrq.1",1.8986892325825e-89,-0.378105692609871,0.06,0.385,2.51063677224384e-85,"3","Uqcrq"
"Anxa2.2",1.93256770279519e-89,-0.37906384211797,0.227,0.624,2.55543427340608e-85,"3","Anxa2"
"Hsd11b1",3.39474891289849e-89,0.449035304286707,0.202,0.349,4.48887648752567e-85,"3","Hsd11b1"
"Mrpl33.2",1.42018217895347e-88,-0.301815762095058,0.166,0.531,1.87790689523017e-84,"3","Mrpl33"
"Rab11fip1.2",1.44668280912425e-88,0.289906870771103,0.355,0.583,1.912948678505e-84,"3","Rab11fip1"
"Ralgds.1",1.71184913136131e-88,0.360891898207403,0.153,0.281,2.26357810639906e-84,"3","Ralgds"
"Malt1.2",1.75060321101241e-88,0.683250858575119,0.278,0.384,2.31482262592171e-84,"3","Malt1"
"Slc15a3.3",2.2302987056871e-88,0.296361678441757,0.607,0.84,2.94912397853005e-84,"3","Slc15a3"
"Rps23.2",2.60416112987103e-88,-0.620477574665547,0.083,0.467,3.44348226202846e-84,"3","Rps23"
"AC160336.1",3.26693563145173e-88,0.257600889859057,0.259,0.517,4.31986898546863e-84,"3","AC160336.1"
"Rps26.2",7.69097479602058e-88,-0.667835103019741,0.087,0.478,1.0169775972778e-83,"3","Rps26"
"Igsf6.2",1.42346403292987e-87,-0.257629192897929,0.163,0.513,1.88224649074316e-83,"3","Igsf6"
"Mthfs.1",1.93267503447473e-87,-0.427245412189201,0.085,0.442,2.55557619808593e-83,"3","Mthfs"
"1810058I24Rik.3",2.27443831469056e-87,-0.6066700961128,0.06,0.426,3.00748978351533e-83,"3","1810058I24Rik"
"H2afj.1",3.11604169403825e-87,-0.330005987201828,0.113,0.453,4.12034193202678e-83,"3","H2afj"
"Cd300c2",4.55530150567908e-87,-0.339114777704398,0.087,0.41,6.02347518095945e-83,"3","Cd300c2"
"Larp4b.1",5.83930839578179e-87,0.378087236073105,0.168,0.302,7.72131749174226e-83,"3","Larp4b"
"Trib1.3",5.86979268770372e-87,0.278705749751379,0.251,0.46,7.76162687095063e-83,"3","Trib1"
"Fth1.2",6.81100088412396e-87,-0.911574849343419,0.998,1,9.00618646907711e-83,"3","Fth1"
"Trem3",1.1115819281178e-86,-0.370898472889557,0.064,0.386,1.46984478355016e-82,"3","Trem3"
"Alox5ap.2",1.24014666998832e-86,-0.420817684197122,0.163,0.546,1.63984594172555e-82,"3","Alox5ap"
"Hk2.1",1.24910023028043e-86,0.753198340583895,0.467,0.571,1.65168523449981e-82,"3","Hk2"
"Isg15.2",1.30345508217473e-86,-0.777979691556054,0.397,0.81,1.72355865515964e-82,"3","Isg15"
"Atp6v1b2.1",1.50530970289701e-86,0.269843338997341,0.17,0.35,1.99047102014072e-82,"3","Atp6v1b2"
"Uqcrh",1.60168943022069e-86,-0.47420613745506,0.062,0.407,2.11791393358082e-82,"3","Uqcrh"
"Stat1.1",2.24436104354975e-86,0.312522227589153,0.335,0.578,2.96771860788584e-82,"3","Stat1"
"Tra2b",2.29446975327809e-86,0.46983702549614,0.168,0.263,3.03397735475962e-82,"3","Tra2b"
"Arpp19.2",4.18441855779712e-86,-0.287952443274047,0.079,0.386,5.53305665897513e-82,"3","Arpp19"
"Bsg.2",5.27886149005414e-86,-0.327514848018775,0.355,0.746,6.98023854829859e-82,"3","Bsg"
"Gns.2",1.18280217779697e-85,0.342561604179033,0.157,0.314,1.56401931970093e-81,"3","Gns"
"Taldo1.2",2.68130839125232e-85,-0.708985424685496,0.142,0.549,3.54549408575294e-81,"3","Taldo1"
"Mif.3",2.69885353050464e-85,-0.645125039730814,0.338,0.757,3.56869402338629e-81,"3","Mif"
"Eif5a.3",4.96640721444262e-85,-0.492659206323951,0.172,0.567,6.56708025965748e-81,"3","Eif5a"
"Card19.2",5.53968783405005e-85,-0.35912699827624,0.467,0.841,7.32512922296438e-81,"3","Card19"
"Fyb.2",7.48052464959457e-85,0.3562145902624,0.198,0.376,9.89149774415891e-81,"3","Fyb"
"BC031181.2",1.83184894073285e-84,-0.303817316308414,0.087,0.395,2.42225385433105e-80,"3","BC031181"
"Arl5b",2.0158603792501e-84,0.302933884195776,0.142,0.251,2.66557217948241e-80,"3","Arl5b"
"Rps27rt",2.09355956042213e-84,-0.330959503322844,0.06,0.365,2.76831380674618e-80,"3","Rps27rt"
"Oasl2.2",5.60842732270776e-84,0.346926633138864,0.405,0.618,7.41602344881648e-80,"3","Oasl2"
"Dgat1.2",6.73171059061209e-84,0.723513033721867,0.456,0.536,8.90134091396636e-80,"3","Dgat1"
"Map3k8.1",1.16717922022918e-83,0.368658117201631,0.185,0.343,1.54336108290905e-79,"3","Map3k8"
"Prelid1.2",2.59397285223988e-83,-0.390558505513091,0.064,0.378,3.4300103025168e-79,"3","Prelid1"
"Anp32a.3",3.0091490197258e-83,-0.363699497291538,0.06,0.373,3.97899774878342e-79,"3","Anp32a"
"Usmg5",6.62439978245388e-83,-0.503345084442964,0.079,0.438,8.75944383233876e-79,"3","Usmg5"
"Rps24.2",1.90602712627734e-82,-0.578425313218953,0.095,0.454,2.52033966907653e-78,"3","Rps24"
"Ndufb9.1",6.83987532170457e-82,-0.412102386156179,0.049,0.36,9.04436713788995e-78,"3","Ndufb9"
"Tpst2",7.02056042943273e-82,0.274444406343924,0.136,0.261,9.2832870558389e-78,"3","Tpst2"
"Capg.3",7.82708861035847e-82,-0.485669466271342,0.13,0.5,1.0349759269477e-77,"3","Capg"
"Ctss",1.34394110720817e-81,-0.2699129373076,0.119,0.444,1.77709332606136e-77,"3","Ctss"
"Atg2a.1",1.35573768385391e-81,0.591653237057758,0.229,0.321,1.79269193936003e-77,"3","Atg2a"
"Tomm7.1",2.43371088857845e-81,-0.434005418204864,0.038,0.351,3.21809590796729e-77,"3","Tomm7"
