"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl38",2.05618526933567e-113,-1.73103013386715,0.513,0.695,2.71889378164256e-109,"Neutrophils","Rpl38"
"Rpl7a",6.53247885450146e-113,-1.77621864491174,0.243,0.578,8.63789678930728e-109,"Neutrophils","Rpl7a"
"Rpl22",1.83126938407468e-111,-1.94898118977356,0.228,0.633,2.42148750656195e-107,"Neutrophils","Rpl22"
"Ppia",6.10081713695089e-111,-2.17814834485446,0.272,0.703,8.06711050019016e-107,"Neutrophils","Ppia"
"Rpl14",6.75664538870077e-110,-2.00435900707326,0.169,0.641,8.93431219747903e-106,"Neutrophils","Rpl14"
"mt-Cytb",7.84739110795353e-109,-1.97655077886005,0.273,0.586,1.03766052620469e-104,"Neutrophils","mt-Cytb"
"Rpl18a",1.34175682302191e-106,-1.59674788544573,0.637,0.812,1.77420504708188e-102,"Neutrophils","Rpl18a"
"Rpl37a",9.8675906668025e-105,-1.59476216272977,0.633,0.766,1.30479151387129e-100,"Neutrophils","Rpl37a"
"Rpl36",1.89319248576369e-104,-1.89451601550212,0.333,0.688,2.50336842392533e-100,"Neutrophils","Rpl36"
"Rps27a",2.58690077426144e-103,-1.72382413590147,0.577,0.781,3.4206588938059e-99,"Neutrophils","Rps27a"
"Rpl35",1.75657249311642e-102,-1.76812312320701,0.25,0.617,2.32271580764784e-98,"Neutrophils","Rpl35"
"Rpl35a",3.11540594893332e-101,-1.45497977991544,0.702,0.789,4.11950128627453e-97,"Neutrophils","Rpl35a"
"Rpl36a",6.33695557052426e-96,-1.83950186942561,0.145,0.555,8.37935635090423e-92,"Neutrophils","Rpl36a"
"Eef1b2",1.53184188766607e-95,-1.52474804012457,0.281,0.555,2.02555452806085e-91,"Neutrophils","Eef1b2"
"Rpl21",1.91484718153935e-95,-1.56815359975539,0.531,0.711,2.53200242814948e-91,"Neutrophils","Rpl21"
"mt-Co1",5.12474989122791e-95,-1.66681166772637,0.631,0.703,6.77645678117067e-91,"Neutrophils","mt-Co1"
"Rpl23",4.365874818432e-93,-1.36509284194641,0.794,0.836,5.77299627241264e-89,"Neutrophils","Rpl23"
"Npm1",6.03435946173419e-93,-2.25426596981394,0.023,0.516,7.97923351625112e-89,"Neutrophils","Npm1"
"Hsp90ab1",3.11737660064885e-92,-1.96225413292015,0.261,0.664,4.12210707903798e-88,"Neutrophils","Hsp90ab1"
"Srgn",5.19997789463178e-92,1.60475925856201,0.992,0.852,6.8759307700716e-88,"Neutrophils","Srgn"
"Rps26",9.06537342239943e-92,-1.60875483886021,0.441,0.734,1.19871432764388e-87,"Neutrophils","Rps26"
"Rpl41",1.07492151061673e-91,-1.33899469739441,0.831,0.867,1.42136871348851e-87,"Neutrophils","Rpl41"
"Clec4e",3.37796710404566e-91,1.44705441549596,0.981,0.484,4.46668590167958e-87,"Neutrophils","Clec4e"
"Rpl4",1.51046427851436e-90,-1.85369318193743,0.09,0.516,1.99728691547953e-86,"Neutrophils","Rpl4"
"Cebpb",1.96618383085122e-89,1.24057997692181,0.991,0.586,2.59988487953457e-85,"Neutrophils","Cebpb"
"Rplp2",3.99342199330961e-88,-1.37678008442512,0.72,0.805,5.2805019017533e-84,"Neutrophils","Rplp2"
"Rpl10",1.42074507041114e-85,-1.23696295043096,0.684,0.734,1.87865120660465e-81,"Neutrophils","Rpl10"
"Ybx1",1.86730822916316e-85,-1.819346494266,0.209,0.617,2.46914167142244e-81,"Neutrophils","Ybx1"
"Rps29",1.98042747992724e-85,-1.24593944147205,0.842,0.789,2.61871925670779e-81,"Neutrophils","Rps29"
"Tmsb10",1.64988140766693e-83,-2.16618267255509,0.258,0.547,2.18163818535798e-79,"Neutrophils","Tmsb10"
"Acod1",1.79058209297711e-81,1.97696803197103,0.943,0.359,2.36768670154363e-77,"Neutrophils","Acod1"
"Rpl24",1.3215948469524e-80,-1.48013737323785,0.472,0.719,1.74754486612516e-76,"Neutrophils","Rpl24"
"Rps17",3.97940287684097e-80,-1.80089235477349,0.164,0.625,5.26196442404681e-76,"Neutrophils","Rps17"
"Eef1a1",1.1811041898851e-79,-1.41944501940014,0.748,0.781,1.56177407028507e-75,"Neutrophils","Eef1a1"
"Rps25",1.2026531303809e-79,-1.35420852397842,0.562,0.711,1.59026823430266e-75,"Neutrophils","Rps25"
"Rpl17",8.8984329294455e-78,-1.29066672522242,0.717,0.75,1.17663978626058e-73,"Neutrophils","Rpl17"
"Naca",1.79557780298164e-76,-1.62685265080589,0.263,0.641,2.37429252888263e-72,"Neutrophils","Naca"
"Clec4d",1.17186889213978e-75,1.2597299287381,0.965,0.43,1.54956223607643e-71,"Neutrophils","Clec4d"
"Crip1",1.35462172826339e-75,-2.04539073326659,0.023,0.438,1.79121631128268e-71,"Neutrophils","Crip1"
"mt-Nd4",3.07721900442189e-74,-1.61457455313996,0.317,0.516,4.06900668954706e-70,"Neutrophils","mt-Nd4"
